payment_id_a,payment_id_b,customer_id,order_id_a,order_id_b,amount_a,amount_b,created_at_a,created_at_b,status_a,status_b,method_a,method_b,time_gap_seconds,scenario,confidence_score,is_double_capture,refundable_amount
pay_900947,pay_900948,cust_00029,order_700824,order_700824,249999,249999,1787541213,1787541214,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,249999
pay_900777,pay_900778,cust_00122,order_700739,order_700739,14999,14999,1787583663,1787583666,captured,captured,card,card,3,Double-Click Issue,99.5,True,14999
pay_902351,pay_902352,cust_00122,order_701601,order_701602,19999,19999,1787592140,1787592145,captured,captured,wallet,wallet,5,Multiple Browser Tabs Checkout,99.5,True,19999
pay_901045,pay_901046,cust_00183,order_700873,order_700873,14999,14999,1787674623,1787674624,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,14999
pay_900703,pay_900704,cust_00184,order_700702,order_700702,9999,9999,1787525732,1787525733,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,9999
pay_901011,pay_901012,cust_00184,order_700856,order_700856,34999,34999,1787532278,1787532281,captured,captured,card,card,3,Double-Click Issue,99.5,True,34999
pay_901051,pay_901052,cust_00123,order_700876,order_700876,74999,74999,1787631950,1787631953,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,74999
pay_901023,pay_901024,cust_00184,order_700862,order_700862,19999,19999,1787646276,1787646277,captured,captured,card,card,1,Double-Click Issue,99.5,True,19999
pay_900747,pay_900748,cust_00124,order_700724,order_700724,149999,149999,1787589974,1787589977,captured,captured,card,card,3,Double-Click Issue,99.5,True,149999
pay_900729,pay_900730,cust_00164,order_700715,order_700715,149999,149999,1787592619,1787592621,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,149999
pay_900849,pay_900850,cust_00174,order_700775,order_700775,49999,49999,1787616440,1787616441,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,49999
pay_901005,pay_901006,cust_00164,order_700853,order_700853,14999,14999,1787628555,1787628557,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,14999
pay_901049,pay_901050,cust_00164,order_700875,order_700875,19999,19999,1787646903,1787646906,captured,captured,card,card,3,Double-Click Issue,99.5,True,19999
pay_901019,pay_901020,cust_00185,order_700860,order_700860,24999,24999,1787559382,1787559383,captured,captured,card,card,1,Double-Click Issue,99.5,True,24999
pay_901075,pay_901076,cust_00181,order_700888,order_700888,149999,149999,1787645923,1787645926,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,149999
pay_900843,pay_900844,cust_00166,order_700772,order_700772,9999,9999,1787554108,1787554111,captured,captured,card,card,3,Double-Click Issue,99.5,True,9999
pay_900867,pay_900868,cust_00182,order_700784,order_700784,74999,74999,1787574740,1787574743,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,74999
pay_901047,pay_901048,cust_00182,order_700874,order_700874,99999,99999,1787602514,1787602517,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,99999
pay_901137,pay_901138,cust_00008,order_700919,order_700919,34999,34999,1787607624,1787607625,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,34999
pay_901063,pay_901064,cust_00009,order_700882,order_700882,19999,19999,1787533149,1787533152,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,19999
pay_900779,pay_900780,cust_00009,order_700740,order_700740,49999,49999,1787536226,1787536228,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,49999
pay_901111,pay_901112,cust_00167,order_700906,order_700906,12499,12499,1787604242,1787604243,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,12499
pay_900741,pay_900742,cust_00009,order_700721,order_700721,14999,14999,1787570515,1787570516,captured,captured,card,card,1,Double-Click Issue,99.5,True,14999
pay_901169,pay_901170,cust_00183,order_700935,order_700935,149999,149999,1787563251,1787563253,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,149999
pay_901195,pay_901196,cust_00169,order_700948,order_700948,249999,249999,1787642608,1787642610,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,249999
pay_900781,pay_900782,cust_00045,order_700741,order_700741,9999,9999,1787655143,1787655144,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,9999
pay_900763,pay_900764,cust_00030,order_700732,order_700732,14999,14999,1787596820,1787596823,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,14999
pay_900981,pay_900982,cust_00004,order_700841,order_700841,149999,149999,1787684421,1787684424,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,149999
pay_900965,pay_900966,cust_00030,order_700833,order_700833,24999,24999,1787681728,1787681730,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,24999
pay_901115,pay_901116,cust_00172,order_700908,order_700908,99999,99999,1787664904,1787664906,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,99999
pay_900941,pay_900942,cust_00052,order_700821,order_700821,19999,19999,1787566478,1787566479,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,19999
pay_900937,pay_900938,cust_00031,order_700819,order_700819,14999,14999,1787651047,1787651049,captured,captured,card,card,2,Double-Click Issue,99.5,True,14999
pay_901117,pay_901118,cust_00027,order_700909,order_700909,12499,12499,1787627167,1787627168,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,12499
pay_901131,pay_901132,cust_00012,order_700916,order_700916,149999,149999,1787577251,1787577254,captured,captured,card,card,3,Double-Click Issue,99.5,True,149999
pay_900875,pay_900876,cust_00190,order_700788,order_700788,14999,14999,1787679069,1787679071,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,14999
pay_901073,pay_901074,cust_00052,order_700887,order_700887,74999,74999,1787658862,1787658865,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,74999
pay_901055,pay_901056,cust_00028,order_700878,order_700878,4999,4999,1787540553,1787540556,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,4999
pay_901119,pay_901120,cust_00192,order_700910,order_700910,99999,99999,1787519545,1787519548,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,99999
pay_900835,pay_900836,cust_00192,order_700768,order_700768,249999,249999,1787564701,1787564703,captured,captured,card,card,2,Double-Click Issue,99.5,True,249999
pay_901159,pay_901160,cust_00033,order_700930,order_700930,99999,99999,1787532729,1787532732,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,99999
pay_901113,pay_901114,cust_00043,order_700907,order_700907,199999,199999,1787623775,1787623776,captured,captured,card,card,1,Double-Click Issue,99.5,True,199999
pay_900719,pay_900720,cust_00033,order_700710,order_700710,9999,9999,1787679391,1787679394,captured,captured,card,card,3,Double-Click Issue,99.5,True,9999
pay_901139,pay_901140,cust_00192,order_700920,order_700920,24999,24999,1787681352,1787681353,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,24999
pay_900969,pay_900970,cust_00043,order_700835,order_700835,7499,7499,1787635739,1787635740,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,7499
pay_900977,pay_900978,cust_00034,order_700839,order_700839,34999,34999,1787534956,1787534958,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,34999
pay_900727,pay_900728,cust_00043,order_700714,order_700714,99999,99999,1787657424,1787657427,captured,captured,card,card,3,Double-Click Issue,99.5,True,99999
pay_901017,pay_901018,cust_00043,order_700859,order_700859,34999,34999,1787657455,1787657458,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,34999
pay_900863,pay_900864,cust_00007,order_700782,order_700782,99999,99999,1787687804,1787687806,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,99999
pay_900887,pay_900888,cust_00014,order_700794,order_700794,249999,249999,1787539178,1787539179,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,249999
pay_900785,pay_900786,cust_00052,order_700743,order_700743,249999,249999,1787659575,1787659577,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,249999
pay_901153,pay_901154,cust_00014,order_700927,order_700927,249999,249999,1787626841,1787626842,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,249999
pay_900819,pay_900820,cust_00015,order_700760,order_700760,49999,49999,1787526779,1787526782,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,49999
pay_900825,pay_900826,cust_00015,order_700763,order_700763,12499,12499,1787594315,1787594317,captured,captured,card,card,2,Double-Click Issue,99.5,True,12499
pay_901167,pay_901168,cust_00044,order_700934,order_700934,4999,4999,1787557980,1787557981,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,4999
pay_901183,pay_901184,cust_00010,order_700942,order_700942,49999,49999,1787609352,1787609355,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,49999
pay_900713,pay_900714,cust_00167,order_700707,order_700707,19999,19999,1787637642,1787637645,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,19999
pay_900717,pay_900718,cust_00045,order_700709,order_700709,24999,24999,1787642275,1787642277,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,24999
pay_901095,pay_901096,cust_00041,order_700898,order_700898,24999,24999,1787531329,1787531330,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,24999
pay_900923,pay_900924,cust_00010,order_700812,order_700812,24999,24999,1787648713,1787648716,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,24999
pay_900955,pay_900956,cust_00011,order_700828,order_700828,249999,249999,1787577686,1787577689,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,249999
pay_901041,pay_901042,cust_00180,order_700871,order_700871,299999,299999,1787661124,1787661127,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,299999
pay_900827,pay_900828,cust_00181,order_700764,order_700764,12499,12499,1787579092,1787579094,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,12499
pay_901087,pay_901088,cust_00011,order_700894,order_700894,9999,9999,1787618582,1787618585,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,9999
pay_900783,pay_900784,cust_00011,order_700742,order_700742,24999,24999,1787686216,1787686218,captured,captured,card,card,2,Double-Click Issue,99.5,True,24999
pay_901077,pay_901078,cust_00190,order_700889,order_700889,74999,74999,1787649559,1787649560,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,74999
pay_901057,pay_901058,cust_00015,order_700879,order_700879,12499,12499,1787645073,1787645074,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,12499
pay_900771,pay_900772,cust_00016,order_700736,order_700736,9999,9999,1787530251,1787530253,captured,captured,card,card,2,Double-Click Issue,99.5,True,9999
