time_delta_seconds,burst_velocity_1m,burst_velocity_5m,rapid_retry_status_transition,exact_amount_match,amount_ratio,order_id_match,merchant_notes_order_id_match,invoice_id_match,email_exact_match,email_levenshtein_similarity,contact_normalized_match,contact_last_4_match,customer_id_match,vpa_exact_match,vpa_handle_match,card_id_match,card_fingerprint_match,bank_code_match,acquirer_rrn_match,acquirer_auth_code_match,description_jaccard_similarity,method_consistency,error_cascade_similarity,composite_duplicate_risk_score,txn_a_id,txn_b_id,label
106.0,1,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.78991336,pay_000582,pay_000582_dup,1
526.0,1,1,0.0,0.0,0.78225553,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.19592592,pay_000466,pay_000068,0
577.0,1,1,0.0,0.0,0.7976123,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.14158857,pay_000099,pay_000130,0
118.0,1,2,0.0,0.0,0.53893214,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.20773262,pay_000734,pay_000500,0
346.0,1,1,0.0,0.0,0.77201396,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.16084786,pay_001479,pay_000688,0
168.0,1,2,0.0,0.0,0.75848144,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.20956233,pay_001022,pay_002268,0
206.0,1,1,0.0,0.0,0.4517491,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.06862657,pay_000525,pay_001199,0
497.0,1,1,0.0,0.0,0.37954938,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.061938558,pay_000097,pay_000277,0
474.0,1,1,0.0,0.0,0.8191692,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.2276758,pay_000349,pay_000382_dup,0
466.0,1,1,0.0,0.0,0.04812834,0.0,0.0,0.0,0.0,0.94736844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.05307824,pay_000918,pay_000797_dup,0
300.0,1,1,0.0,0.0,0.998366,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.114138916,pay_000204,pay_000615_dup,0
174.0,1,2,0.0,0.0,0.7988126,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.24087031,pay_000380,pay_000489,0
6.0,2,2,0.0,0.0,0.9919281,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.36692986,pay_002038,pay_000906,0
515.0,1,1,0.0,0.0,0.49722832,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.13174672,pay_000250,pay_000903,0
512.0,1,1,0.0,0.0,0.4751309,0.0,0.0,0.0,0.0,0.94736844,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1523047,pay_002418,pay_001477,0
404.0,1,1,0.0,0.0,0.09142857,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.11869152,pay_000762,pay_001073,0
459.0,1,1,0.0,0.0,0.9943705,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.112740904,pay_001629,pay_002169,0
145.0,1,2,0.0,0.0,0.90940464,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.25216082,pay_000263,pay_000237,0
404.0,1,1,0.0,0.0,0.1298984,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.13923974,pay_001725,pay_001000_dup,0
446.0,1,1,0.0,0.0,0.07802198,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.052118883,pay_002363,pay_000926,0
464.0,1,1,0.0,0.0,0.65090406,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.10140054,pay_000037,pay_000110,0
413.0,1,1,0.0,0.0,0.51176363,0.0,0.0,0.0,0.0,0.94736844,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.15379095,pay_001253,pay_001827,0
224.0,1,2,0.0,0.0,0.936823,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.212147,pay_000191,pay_000710,0
464.0,1,1,0.0,0.0,0.24789916,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.17841965,pay_002010,pay_001381,0
9.0,1,1,0.0,0.0,0.48946515,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.13928933,pay_000921,pay_001536,0
390.0,1,1,0.0,0.0,0.29419598,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.05950158,pay_001991,pay_002006,0
240.0,1,2,0.0,0.0,0.9849878,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.24356519,pay_001089,pay_002064,0
403.0,1,1,0.0,0.0,0.08299033,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.20365442,pay_000884,pay_001731,0
18.0,2,2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7717727,pay_000389,pay_000389_dup,1
294.0,1,1,0.0,0.0,0.17757615,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.056737464,pay_001498,pay_000385,0
286.0,1,2,0.0,0.0,0.5163895,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.23194343,pay_000193,pay_000256_dup,0
92.0,1,2,1.0,0.0,0.58273786,0.0,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.2936599,pay_000597,pay_000568,0
