payment_id,customer_id,order_id,amount,currency,status,method,card_id,vpa,bank,description,international,created_at
pay_800249,cust_00061,order_600241,199.76,INR,captured,upi,,user2@okaxis,,Service payment,False,1717344398
pay_800181,cust_00092,order_600173,199.97,INR,captured,netbanking,,,HDFC,Order payment,False,1717221482
pay_800175,cust_00163,order_600167,1499.11,INR,captured,netbanking,,,KOTAK,Subscription renewal,False,1717209706
pay_800255,cust_00190,order_600247,2499.89,INR,captured,upi,,user31@okaxis,,Recharge,False,1717349461
pay_800235,cust_00049,order_600227,1499.67,INR,failed,wallet,,,,Booking fee,False,1717327811
pay_800239,cust_00056,order_600231,2499.88,INR,captured,wallet,,,,Bill payment,False,1717331930
pay_800201,cust_00046,order_600193,999.7,INR,failed,netbanking,,,HDFC,Subscription renewal,False,1717262864
pay_800216,cust_00037,order_600208,999.2,INR,captured,card,card_0011,,AXIS,Order payment,False,1717294578
pay_800267,cust_00188,order_600256,299.0,INR,captured,card,card_0024,,KOTAK,Product purchase,False,1717330821
pay_800182,cust_00070,order_600174,499.96,INR,captured,card,card_0042,,ICICI,Recharge,False,1717224985
pay_800250,cust_00139,order_600242,1499.81,INR,captured,wallet,,,,Recharge,False,1717345145
pay_800251,cust_00122,order_600243,299.8,INR,captured,wallet,,,,Product purchase,False,1717345433
pay_800171,cust_00042,order_600163,999.9,INR,failed,netbanking,,,SBI,Booking fee,False,1717202003
pay_800252,cust_00075,order_600244,499.04,INR,failed,netbanking,,,SBI,Bill payment,False,1717346280
pay_800189,cust_00157,order_600181,99.72,INR,captured,netbanking,,,AXIS,Recharge,False,1717241476
pay_800241,cust_00182,order_600233,1499.78,INR,captured,wallet,,,,Recharge,False,1717332887
pay_800227,cust_00152,order_600219,199.31,INR,captured,netbanking,,,ICICI,Recharge,False,1717311737
pay_800243,cust_00038,order_600235,4999.93,INR,captured,card,card_0049,,SBI,Subscription renewal,False,1717335461
pay_800279,cust_00141,order_600267,299.0,INR,captured,card,card_0019,,AXIS,Recharge,False,1717360418
pay_800213,cust_00027,order_600205,499.43,INR,captured,wallet,,,,Booking fee,False,1717285476
pay_800183,cust_00163,order_600175,9999.96,INR,captured,upi,,user8@okaxis,,Booking fee,False,1717225222
pay_800207,cust_00014,order_600199,99.2,INR,captured,netbanking,,,SBI,Service payment,False,1717272356
pay_800236,cust_00072,order_600228,1999.5,INR,failed,upi,,user38@okaxis,,Subscription renewal,False,1717329555
pay_800197,cust_00170,order_600189,1999.86,INR,captured,netbanking,,,KOTAK,Service payment,False,1717255751
pay_800193,cust_00055,order_600185,1999.45,INR,captured,wallet,,,,Order payment,False,1717248749
pay_800202,cust_00036,order_600194,9999.65,INR,captured,card,card_0005,,KOTAK,Subscription renewal,False,1717263179
pay_800218,cust_00112,order_600210,199.46,INR,captured,netbanking,,,KOTAK,Product purchase,False,1717299062
pay_800247,cust_00170,order_600239,199.52,INR,captured,card,card_0024,,AXIS,Product purchase,False,1717340289
pay_800186,cust_00064,order_600178,299.11,INR,captured,card,card_0022,,ICICI,Bill payment,False,1717234435
pay_800215,cust_00198,order_600207,1499.35,INR,captured,upi,,user15@okaxis,,Product purchase,False,1717292081
pay_800260,cust_00163,order_600252,99.07,INR,captured,upi,,user1@okaxis,,Subscription renewal,False,1717361118
pay_800261,cust_00155,order_600253,2499.0,INR,failed,card,card_0015,,SBI,Service payment,False,1717209122
pay_800180,cust_00104,order_600172,999.03,INR,captured,wallet,,,,Subscription renewal,False,1717219948
pay_800204,cust_00021,order_600196,99.15,INR,captured,card,card_0017,,AXIS,Recharge,False,1717266973
pay_800226,cust_00149,order_600218,299.91,INR,failed,wallet,,,,Subscription renewal,False,1717310165
pay_800240,cust_00095,order_600232,499.38,INR,captured,card,card_0020,,HDFC,Booking fee,False,1717332294
pay_800199,cust_00027,order_600191,1499.84,INR,captured,netbanking,,,KOTAK,Subscription renewal,False,1717258187
pay_800211,cust_00146,order_600203,1999.7,INR,captured,wallet,,,,Product purchase,False,1717281245
pay_800176,cust_00165,order_600168,199.63,INR,failed,netbanking,,,AXIS,Product purchase,False,1717211637
pay_800224,cust_00198,order_600216,1499.67,INR,captured,netbanking,,,HDFC,Service payment,False,1717307672
pay_800233,cust_00011,order_600225,1999.36,INR,captured,wallet,,,,Bill payment,False,1717324436
pay_800210,cust_00189,order_600202,99.43,INR,failed,netbanking,,,KOTAK,Order payment,False,1717279505
