transaction_id,timestamp,user_id,amount,method,status
pay_N8a2B7cD,2026-08-28T09:00:05Z,usr_7182,15400,netbanking,captured
pay_M9d1C2eA,2026-08-28T09:01:22Z,usr_9381,4500,upi,captured
pay_K7a9P4qL,2026-08-28T09:03:40Z,usr_4201,12500,card,captured
pay_J6b8O3pM,2026-08-28T09:04:15Z,usr_4201,12500,card,captured
pay_H5c7N2oK,2026-08-28T09:10:12Z,usr_1192,23000,upi,captured
pay_G4d6M1nJ,2026-08-28T09:12:00Z,usr_8829,54000,card,captured
pay_F3e5L0mI,2026-08-28T09:12:12Z,usr_8829,54000,card,captured
pay_E2f4K9lH,2026-08-28T09:20:00Z,usr_3301,9800,upi,captured
pay_D1g3J8kG,2026-08-28T09:20:45Z,usr_3301,9800,upi,captured
pay_C0h2I7jF,2026-08-28T09:30:00Z,usr_5561,1200,netbanking,captured
pay_B9i1H6kE,2026-08-28T09:45:00Z,usr_6612,88000,card,captured
pay_A8j0G5jD,2026-08-28T09:45:18Z,usr_6612,88000,card,captured
pay_Z7k9F4iC,2026-08-28T10:00:00Z,usr_2290,5000,wallet,captured
pay_Y6l8E3hB,2026-08-28T10:00:03Z,usr_2290,5000,wallet,captured
pay_X5m7D2gA,2026-08-28T10:15:00Z,usr_4410,18750,upi,captured
pay_W4n6C1fZ,2026-08-28T10:30:00Z,usr_7721,32000,card,captured
pay_V3o5B0eY,2026-08-28T10:30:28Z,usr_7721,32000,card,captured
pay_U2p4A9dX,2026-08-28T11:00:00Z,usr_8843,7500,netbanking,captured
pay_T1q3Z8cW,2026-08-28T11:15:00Z,usr_9954,62000,card,captured
pay_S0r2Y7bV,2026-08-28T11:15:09Z,usr_9954,62000,card,captured
